Brand,Model,Year,Category,Displacement (ccm),Power (hp),Torque (Nm),Fuel capacity (lts),Dry weight (kg),Seat height (mm),Cooling system,Transmission type,Gearbox,Engine stroke,Engine cylinder,URL
Yamaha,▷ Yamaha YZ125 Monster Energy Racing Edition 2025,2025,Unknown,125,96,Unknown,7,96,980,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz125-monster-energy-racing-edition
Yamaha,▷ Yamaha Tracer 7 GT 2025,2025,Unknown,689,72,68,18,212,845,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tracer-7-gt
Yamaha,▷ Yamaha YZ125 2024 50th Anniversary,2024,Unknown,124.9,95,Unknown,7,95,975,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz125-2024-50th-anniversary
Yamaha,▷ Yamaha YZ450F 2023,2023,Unknown,449,109,Unknown,6.2,109,965,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz450f-2023
Yamaha,▷ Yamaha Ténéré 700 2023,2023,Unknown,689,73,67,16,204,875,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tenere-700-2023
Yamaha,▷ Yamaha YXZ1000R 2025,2025,Unknown,998,699,Unknown,34,699,Unknown,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yxz1000r
Yamaha,▷ Yamaha MT,2025,Unknown,321,42,29.5,14,167,780,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/mt-03
Yamaha,▷ Yamaha Ténéré 700 Rally Edition 2023,2023,Unknown,689,73,67,16,204,895,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tenere-700-rally-edition-2023
Yamaha,▷ Yamaha Tracer 9 GT 2021,2024,Unknown,889,119,93,18.7,220,810,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tracer-9-gt-2021
Yamaha,▷ Yamaha Ténéré 700 Rally 2025,2025,Unknown,689,73,68,16,210,910,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tenere-700-rally
Yamaha,▷ Yamaha XMAX 300 Tech MAX 2023,2023,Unknown,292,28,29,13.2,183,795,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/xmax-300-tech-max-2023
Yamaha,▷ Yamaha TMax 2022,2024,Unknown,560,48,55.7,15,218,800,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tmax-2022
Yamaha,▷ Yamaha MT,2023,Unknown,689,73,67,14,184,805,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/mt-07-pure-2023
Yamaha,▷ Yamaha XMAX 125 Tech MAX 2025,2025,Unknown,124.66,12,11,13.2,167,800,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/xmax-125-tech-max
Yamaha,▷ Yamaha Tracer 7 GT 2023,2023,Unknown,689,73,67,2023,196,835,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tracer-7-gt-2023
Yamaha,▷ Yamaha NMAX 125 Tech Max 2025,2025,Unknown,125,12,11.2,7.1,132,770,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/nmax-125-tech-max
Yamaha,▷ Yamaha MT,2024,Unknown,890,119,7.000,14,193,825,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/mt-09
Yamaha,▷ Yamaha Tracer 9 2025,2025,Unknown,889,119,93,19,219,845,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tracer-9
Yamaha,▷ Yamaha Tracer 9 GT 2025,2025,Unknown,889,119,93,19,227,845,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tracer-9-gt
Yamaha,▷ Yamaha NMAX 125 2021,2024,Unknown,125,12,11.2,7.1,131,765,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/nmax-125-2021
Yamaha,▷ Yamaha YZ65 2025,2025,Unknown,65,61,Unknown,3.5,61,755,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz65-2025
Yamaha,▷ Yamaha MT,2024,Unknown,998,166,112,17,212,835,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/mt-10
Yamaha,▷ Yamaha XSR700 Legacy 2023,2023,Unknown,689,75,68,14,190,815,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/xsr700-legacy-2023
Yamaha,▷ Yamaha Tricity 300 2025,2025,Unknown,292,28,28.9,13,239,795,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tricity-300
Yamaha,▷ Yamaha YZ250 2023,2023,Unknown,249,103,Unknown,7,103,975,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz250-2023
