Brand,Model,Year,Category,Displacement (ccm),Power (hp),Fuel capacity (lts),Dry weight (kg),Seat height (mm),Torque (Nm),Cooling system,Transmission type,Gearbox,Engine stroke,Engine cylinder
terra modena,198,2012,Sport,449.6,,8.5,120.0,890.0,,Liquid,Chain,6-speed, four-stroke,Single cylinder
terra modena,198,2013,Sport,449.6,,8.5,120.0,890.0,,Liquid,Chain,6-speed, four-stroke,Single cylinder
terra modena,198,2014,Sport,449.6,,8.5,120.0,890.0,,Liquid,Chain,6-speed, four-stroke,Single cylinder
terra modena,198,2015,Sport,449.6,,8.5,120.0,890.0,,Liquid,Chain,6-speed, four-stroke,Single cylinder
terra modena,198,2016,Sport,449.6,,8.5,120.0,890.0,,Liquid,Chain,6-speed, four-stroke,Single cylinder
terra modena,198,2017,Sport,449.6,,8.5,120.0,890.0,,Liquid,Chain,6-speed, four-stroke,Single cylinder
terra modena,vercar superbike,2015,Sport,,67.1,,,,55.0,Liquid,Chain,6-speed,Electric,Electric
terrot,hst,1930,Allround,346.0,,,115.0,,,Unknown,Unknown,Unknown, four-stroke,Single cylinder
tgb,101 r,2006,Scooter,151.0,8.6,5.1,84.0,,,Oil & air,Belt,Unknown, four-stroke,Single cylinder
tgb,101r,2007,Scooter,49.3,4.9,5.1,81.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,101r (125cc),2007,Scooter,82.4,6.4,5.1,81.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,101r (150cc),2007,Scooter,124.0,8.6,5.1,84.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
tgb,101r 125,2008,Scooter,124.0,8.6,5.1,110.0,790.0,,Air,Belt,Automatic, four-stroke,Single cylinder
tgb,101r 125,2010,Scooter,124.0,8.6,5.1,93.0,790.0,,Air,Unknown,Automatic, four-stroke,Single cylinder
tgb,101r 150,2008,Scooter,151.1,10.1,5.1,122.0,790.0,,Air,Belt,Automatic, four-stroke,Single cylinder
tgb,101r 50,2008,Scooter,49.0,10.1,5.1,92.0,790.0,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,101r 50,2010,Scooter,49.0,47.9,5.1,81.0,790.0,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,101s,2007,Scooter,49.3,4.9,5.1,81.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,101s,2008,Scooter,49.0,4.9,5.1,81.0,760.0,,Unknown,Belt,Unknown, two-stroke,Single cylinder
tgb,101s (125cc),2007,Scooter,124.0,8.6,5.1,84.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
tgb,101s (90 cc),2007,Scooter,82.4,6.4,5.1,81.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,101s 50,2010,Scooter,49.3,4.9,5.1,81.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,101s 50,2011,Scooter,49.3,4.9,5.1,81.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,104t 50,2008,Scooter,49.6,3.8,5.1,91.0,,,Unknown,Unknown,Automatic, four-stroke,Single cylinder
tgb,203,2007,Scooter,49.3,4.9,5.1,81.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,203 50,2008,Scooter,49.0,4.9,,81.0,760.0,,Air,Belt,Unknown, two-stroke,Single cylinder
tgb,303 50,2008,Scooter,49.0,,6.8,92.0,,,Air,Belt,Unknown, two-stroke,Single cylinder
tgb,303r,2007,Scooter,49.3,4.9,6.8,92.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,303r (125 cc),2007,Scooter,124.0,8.6,6.8,110.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
