Brand,Model,Year,Category,Displacement (ccm),Power (hp),Fuel capacity (lts),Dry weight (kg),Seat height (mm),Torque (Nm),Cooling system,Transmission type,Gearbox,Engine stroke,Engine cylinder
acabion,da vinci 650-vi,2011,Prototype / concept model,,804.0,,420.0,,,Liquid,Chain,Unknown,Electric,Electric
acabion,gtbo 55,2007,Sport,1300.0,541.0,,360.0,,420.0,Liquid,Unknown,6-speed, four-stroke,In-line four
acabion,gtbo 600 daytona-vi,2011,Prototype / concept model,,536.0,,420.0,,,Liquid,Unknown,Unknown,Electric,Electric
acabion,gtbo 600 daytona-vi,2021,Prototype / concept model,,536.0,,420.0,,,Liquid,Unknown,Unknown,Electric,Electric
acabion,gtbo 70,2007,Prototype / concept model,1300.0,689.0,,300.0,,490.0,Liquid,Unknown,6-speed, four-stroke,In-line four
access,37 offroad e-scooter,2021,Scooter,,1.1,,42.0,750.0,,Unknown,Chain,Automatic,Electric,Electric
access,ams 3.20 supercross,2016,ATV,280.0,18.8,14.0,225.0,,,Air,Chain,Automatic, four-stroke,Single cylinder
access,ams 4.30 supermoto efi,2016,ATV,359.3,29.5,14.0,236.0,,,Air,Chain,Automatic, four-stroke,Single cylinder
access,ams 4.38 sm gear shift,2016,ATV,449.0,37.6,14.0,236.0,,,Air,Chain,5-speed, four-stroke,Single cylinder
access,ams 4.38 sx gear shift,2016,ATV,449.0,37.6,14.0,236.0,,,Air,Chain,5-speed, four-stroke,Single cylinder
access,ams 6.46 basic,2016,ATV,608.0,45.6,21.0,346.0,,,Air,Chain,Automatic, four-stroke,Single cylinder
access,ams 6.46 lux,2016,ATV,608.0,45.6,21.0,346.0,,,Air,Chain,Automatic, four-stroke,Single cylinder
access,ams 6.46 lux long,2016,ATV,608.0,45.6,21.0,346.0,,,Air,Chain,Automatic, four-stroke,Single cylinder
access,ams 8.57 lux lv,2016,ATV,781.0,56.3,21.0,362.0,,,Air,Chain,Automatic, four-stroke,Single cylinder
access,amx 8.57 efi,2018,ATV,781.0,57.7,21.0,344.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,minisport 110,2021,ATV,107.0,6.8,,95.0,610.0,,Air,Chain,Automatic, four-stroke,Single cylinder
access,shade 200,2021,ATV,176.0,13.1,,201.0,,,Air,Chain,Automatic, four-stroke,Single cylinder
access,shade 420,2018,ATV,359.3,26.8,16.6,321.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,shade sport 650,2018,ATV,608.0,45.6,21.0,334.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,shade sport 650 eps,2020,ATV,608.0,45.6,21.0,342.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,shade sport 850,2018,ATV,781.0,57.7,21.0,334.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,shade sport 850 lv,2020,ATV,781.0,57.7,21.0,342.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,shade sport 850 touring,2020,ATV,781.0,57.7,21.0,358.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,shade xtreme 650,2022,ATV,608.0,45.6,21.0,330.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,shade xtreme 650 ng,2020,ATV,608.0,45.6,21.0,330.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,shade xtreme 850,2018,ATV,781.0,57.7,21.0,329.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,shade xtreme 850 dlx eps,2020,ATV,781.0,57.7,21.0,329.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,xtreme enduro 300,2021,ATV,280.0,18.8,,225.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,xtreme s 480,2021,ATV,449.0,,14.0,236.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
access,xtreme supermoto 300,2021,ATV,280.0,18.8,,225.0,,,Liquid,Chain,Automatic, four-stroke,Single cylinder
ace,exp-4,1923,Sport,1299.0,,,,,,Unknown,Chain,Unknown, four-stroke,In-line four
ace,standard,1924,Allround,1234.0,,,165.0,,,Unknown,Chain,Unknown, four-stroke,Twin
ace,standard,1925,Allround,1234.0,,,165.0,,,Unknown,Chain,Unknown, four-stroke,Twin
ace,standard,1926,Allround,1234.0,,,165.0,,,Unknown,Chain,Unknown, four-stroke,Twin
ace,standard model,1927,Allround,1234.0,,,165.0,,,Unknown,Chain,Unknown, four-stroke,Twin
adiva,ad 125,2009,Scooter,124.0,14.8,13.5,175.0,,12.0,Liquid,Belt,Automatic, four-stroke,Single cylinder
adiva,ad 125,2011,Scooter,124.0,13.0,13.5,171.0,,10.9,Liquid,Belt,Automatic, four-stroke,Single cylinder
adiva,ad 125le,2010,Scooter,124.0,13.0,13.5,171.0,,10.9,Liquid,Belt,Automatic, four-stroke,Single cylinder
adiva,ad 200,2011,Scooter,171.2,15.8,12.0,172.0,,15.3,Liquid,Belt,Automatic, four-stroke,Single cylinder
adiva,ad 250,2009,Scooter,244.0,21.5,13.5,175.0,,20.2,Liquid,Unknown,Unknown, four-stroke,Single cylinder
adiva,ad tre,2014,Scooter,205.3,20.6,13.0,118.0,740.0,18.9,Air,Belt,Automatic, four-stroke,Single cylinder
adiva,ad tre 55,2014,Scooter,205.3,20.6,13.0,215.0,740.0,18.9,Air,Belt,Automatic, four-stroke,Single cylinder
adiva,ad125,2008,Scooter,124.0,14.8,,175.0,,12.0,Unknown,Unknown,Unknown, four-stroke,Single cylinder
adiva,ad250,2008,Scooter,244.0,21.5,,175.0,,20.2,Unknown,Unknown,Unknown, four-stroke,Single cylinder
adiva,ad3 300,2018,Scooter,299.0,,11.0,202.0,700.0,30.1,Liquid,Unknown,Automatic, four-stroke,Single cylinder
adiva,ad3 300,2019,Scooter,299.0,29.4,11.0,202.0,700.0,31.0,Liquid,Unknown,Automatic, four-stroke,Single cylinder
adiva,ad3 300lt,2020,Scooter,299.0,29.4,12.2,202.0,700.0,30.1,Liquid,Unknown,Automatic, four-stroke,Single cylinder
adiva,ad3 400,2018,Scooter,399.0,36.7,11.0,257.0,770.0,38.1,Liquid,Unknown,Automatic, four-stroke,Single cylinder
adiva,ad3 400,2019,Scooter,399.0,36.7,11.0,257.0,770.0,38.1,Liquid,Unknown,Automatic, four-stroke,Single cylinder
adiva,ar 125,2011,Scooter,124.0,13.0,12.0,171.0,,10.9,Liquid,Belt,Automatic, four-stroke,Single cylinder
adiva,ar 200,2011,Scooter,171.2,15.8,12.0,172.0,,15.3,Liquid,Belt,Automatic, four-stroke,Single cylinder
adiva,ar3 200,2018,Scooter,190.0,18.8,14.0,231.0,700.0,17.0,Liquid,Unknown,Automatic, four-stroke,Single cylinder
adiva,birdie,2012,Scooter,124.6,9.4,5.0,118.0,,9.0,Air,Unknown,Unknown, four-stroke,Single cylinder
adiva,cargo 3,2013,Scooter,,1.3,,,720.0,180.0,Air,Unknown,1-speed,Electric,Electric
adiva,cargo 3,2014,Scooter,,1.3,,60.0,720.0,180.0,Air,Unknown,1-speed,Electric,Electric
adiva,cargo2,2011,Scooter,,,,60.0,700.0,,Unknown,Unknown,1-speed,Electric,Electric
adiva,e-moving,2013,Scooter,,0.8,,63.0,,,Air,Unknown,1-speed,Electric,Electric
adiva,e-moving,2014,Scooter,,0.8,,63.0,,,Air,Unknown,1-speed,Electric,Electric
adiva,n125,2010,Scooter,124.0,10.3,6.0,108.0,800.0,9.8,Unknown,Unknown,Unknown, four-stroke,Single cylinder
adiva,n125,2011,Scooter,124.0,10.3,6.0,108.0,800.0,9.8,Air,Unknown,Automatic, four-stroke,Single cylinder
adiva,r125,2010,Scooter,124.0,10.3,6.0,109.0,800.0,9.8,Unknown,Unknown,Unknown, four-stroke,Single cylinder
adiva,r125,2011,Scooter,124.0,10.3,6.0,109.0,800.0,9.8,Air,Belt,Automatic, four-stroke,Single cylinder
adiva,vx-1,2021,Scooter,,14.8,,,775.0,65.0,Air,Unknown,Automatic,Electric,Electric
adler,isdt,1957,Sport,247.0,18.0,12.0,,,,Air,Chain,Unknown, two-stroke,Twin
adler,isdt,1958,Sport,247.0,18.0,12.0,,,,Air,Chain,Unknown, two-stroke,Twin
adler,junior 100 luxus,1955,Scooter,100.0,,,,,,Air,Unknown,Unknown, two-stroke,Single cylinder
adler,junior 100 luxus,1956,Scooter,100.0,,,,,,Air,Unknown,Unknown, two-stroke,Single cylinder
adler,junior 100 luxus,1957,Scooter,100.0,,,,,,Unknown,Unknown,Unknown, two-stroke,Single cylinder
adler,m 100,1955,Sport,100.0,,,70.0,,,Air,Chain,3-speed, two-stroke,Single cylinder
adler,m 100,1956,Sport,100.0,,7.0,70.0,,,Air,Chain,3-speed, two-stroke,Single cylinder
adler,m 100,1957,Sport,100.0,,7.0,70.0,,,Air,Chain,3-speed, two-stroke,Single cylinder
adler,m 100,1958,Sport,100.0,,7.0,70.0,,,Air,Chain,3-speed, two-stroke,Single cylinder
adler,m 200,1952,Naked bike,200.0,11.0,,130.0,,,Air,Chain,4-speed, two-stroke,Twin
adler,m 200,1953,Naked bike,200.0,11.0,,130.0,,,Air,Chain,4-speed, two-stroke,Twin
adler,m 200,1954,Naked bike,200.0,11.0,,130.0,,,Air,Chain,4-speed, two-stroke,Twin
adler,m 250,1952,Custom / cruiser,250.0,16.0,12.0,135.0,,,Air,Chain,4-speed, two-stroke,Twin
adler,m 250,1953,Custom / cruiser,250.0,16.0,12.0,135.0,,,Air,Unknown,4-speed, two-stroke,Twin
adler,m 250,1954,Custom / cruiser,250.0,16.0,12.0,135.0,,,Air,Unknown,4-speed, two-stroke,Twin
adler,m 250 s,1952,Allround,247.0,16.0,12.0,135.0,,,Air,Chain,4-speed, two-stroke,Twin
adler,m 250 s,1953,Allround,247.0,16.0,,135.0,,,Air,Chain,4-speed, two-stroke,Twin
adler,m 250 s,1954,Allround,247.0,16.0,,135.0,,,Air,Chain,4-speed, two-stroke,Twin
adler,m 250 s,1955,Allround,247.0,16.0,,,,,Air,Chain,4-speed, two-stroke,Twin
adler,m 250 s,1956,Allround,247.0,,,,,,Air,Chain,4-speed, two-stroke,Twin
adler,mb 250 rs,1954,Cross / motocross,247.0,,12.0,,,,Air,Chain,Unknown, two-stroke,Twin
adler,mb 250 rs,1955,Cross / motocross,247.0,,12.0,,,,Air,Chain,Unknown, two-stroke,Twin
adler,mb 250 rs,1956,Cross / motocross,247.0,,12.0,,,,Air,Chain,Unknown, two-stroke,Twin
adler,mbs 250 favorit,1957,Allround,250.0,16.0,15.0,165.0,,,Air,Chain,4-speed, two-stroke,Twin
adler,mbs 250 favorit,1958,Allround,250.0,16.0,15.0,165.0,,,Air,Chain,4-speed, two-stroke,Twin
adler,mbs 250 favorit,1959,Allround,250.0,16.0,15.0,165.0,,,Air,Chain,4-speed, two-stroke,Twin
adler,mbs 250 favorit,1960,Allround,250.0,16.0,15.0,165.0,,,Air,Chain,4-speed, two-stroke,Twin
adly,bullet 125,2007,Cross / motocross,122.7,,3.75,,800.0,,Air,Chain,4-speed, four-stroke,Single cylinder
adly,bullet 125 supermotard,2007,Super motard,122.7,,3.75,,800.0,,Air,Chain,4-speed, four-stroke,Single cylinder
adly,cat 100,2007,Scooter,95.6,8.6,,75.0,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,cat 100,2008,Scooter,95.6,8.6,,75.0,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,cat 125 b,2008,Scooter,124.0,,,92.0,,,Air,Unknown,Automatic, four-stroke,Single cylinder
adly,cat 125 d,2008,Scooter,124.0,,,92.0,,,Air,Unknown,Automatic, four-stroke,Single cylinder
adly,cat 125 s,2008,Scooter,124.0,,,85.0,,,Air,Unknown,Automatic, four-stroke,Single cylinder
adly,cat 125b,2007,Scooter,124.0,8.4,,92.0,,,Air,Unknown,Automatic, four-stroke,Single cylinder
adly,cat 125d,2007,Scooter,124.0,8.4,,92.0,,,Air,Unknown,Automatic, four-stroke,Single cylinder
adly,cat 125s,2007,Scooter,124.0,8.6,,85.0,,,Air,Unknown,Automatic, four-stroke,Single cylinder
adly,cat 125s,2009,Scooter,124.0,,,85.0,,,Air,Unknown,Automatic, four-stroke,Single cylinder
adly,cat 50,2007,Scooter,49.3,5.0,,75.0,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,cat 50,2008,Scooter,49.3,5.0,,75.0,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,cat 50,2009,Scooter,49.3,5.0,,75.0,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,e-bike 2nd generation,2009,Scooter,,,,54.0,,,Air,Belt,Automatic,Electric,Electric
adly,e-bike fun cruiser,2009,Scooter,,,,46.9,650.0,,Air,Belt,Automatic,Electric,Electric
adly,fc-25 e-bike fun cruiser,2010,Scooter,,,,46.9,650.0,,Air,Belt,Automatic,Electric,Electric
adly,fc-25 ii 2nd gen e-bike,2010,Scooter,,,,52.0,,,Air,Unknown,Automatic,Electric,Electric
adly,fox 50 (2t),2007,Scooter,49.3,3.7,6.2,75.0,762.0,,Air,Unknown,Unknown, two-stroke,Single cylinder
adly,fox 50 (4t),2007,Scooter,49.3,3.7,6.2,75.0,762.0,,Air,Unknown,Unknown, four-stroke,Single cylinder
adly,fun cruiser (i),2007,Scooter,,,,,650.0,,Oil & air,Unknown,Automatic,Electric,Electric
adly,fun cruiser (ii),2007,Scooter,,,,,650.0,,Oil & air,Unknown,Automatic,Electric,Electric
adly,gta-125,2018,Scooter,125.0,,6.0,98.0,780.0,,Air,Belt,Automatic, four-stroke,Single cylinder
adly,gta-125,2019,Scooter,124.0,,6.0,98.0,780.0,,Air,Belt,Automatic, four-stroke,Single cylinder
adly,gta-150,2018,Scooter,149.5,,6.0,98.0,780.0,,Air,Belt,Automatic, four-stroke,Single cylinder
adly,gta-150,2019,Scooter,149.5,,6.0,98.0,780.0,,Air,Belt,Automatic, four-stroke,Single cylinder
adly,gta-50,2018,Scooter,49.3,,6.0,88.0,780.0,,Air,Belt,Automatic, two-stroke,Single cylinder
adly,gtc bullseye,2018,Scooter,49.3,,6.0,78.0,800.0,,Air,Belt,Automatic, two-stroke,Single cylinder
adly,jet 100,2007,Scooter,95.6,7.5,,75.0,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,jet 100,2008,Scooter,95.6,7.5,,,,,Unknown,Unknown,Automatic, two-stroke,Single cylinder
adly,jet 50,2007,Scooter,49.3,3.7,6.2,75.0,762.0,,Air,Unknown,Unknown, two-stroke,Single cylinder
adly,jet 50,2008,Scooter,49.3,,,,,,Unknown,Unknown,Automatic, two-stroke,Single cylinder
adly,jet 50,2009,Scooter,49.3,5.0,,74.8,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,mm-50,2018,ATV,49.3,,3.5,75.0,515.0,,Air,Belt,Automatic, two-stroke,Single cylinder
adly,noble 100,2008,Scooter,95.6,7.1,,77.0,,7.4,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,noble 125,2008,Scooter,124.0,8.6,6.0,90.0,,9.3,Air,Unknown,Automatic, four-stroke,Single cylinder
adly,noble 125,2009,Scooter,124.0,8.6,6.0,90.0,,9.3,Air,Belt,Automatic, four-stroke,Single cylinder
adly,noble 50,2008,Scooter,49.3,3.7,,77.0,,4.8,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,noble 50,2009,Scooter,49.3,3.7,,77.0,,4.8,Air,Belt,Automatic, two-stroke,Single cylinder
adly,panther 100,2007,Scooter,95.6,,6.2,83.0,815.0,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,panther 100,2008,Scooter,95.6,,6.2,83.0,815.0,,Air,Unknown,Unknown, two-stroke,Single cylinder
adly,panther 50,2008,Scooter,49.3,,6.2,83.0,815.0,,Air,Unknown,Unknown, two-stroke,Single cylinder
adly,panther-50 (2t),2007,Scooter,49.3,3.7,6.2,75.0,815.0,,Air,Unknown,Unknown, two-stroke,Single cylinder
adly,panther-50 (4t),2007,Scooter,49.3,3.7,6.2,75.0,815.0,,Air,Unknown,Unknown, four-stroke,Single cylinder
adly,road tracer 50,2007,Cross / motocross,49.3,,6.2,75.0,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,road tracer 50,2008,"Minibike, sport",49.3,,6.2,75.0,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,road tracer 90,2007,Cross / motocross,85.8,,6.2,78.0,,,Air,Unknown,Automatic, four-stroke,Single cylinder
adly,road tracer 90,2008,"Minibike, sport",85.8,,17.29,78.0,,,Air,Unknown,4-speed, four-stroke,Single cylinder
adly,rt 50 roadtracer,2010,"Minibike, sport",49.3,,6.2,75.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
adly,rt 50 roadtracer,2011,"Minibike, sport",49.3,,6.2,75.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
adly,rt-100 road tracer,2009,"Minibike, sport",95.6,,4.75,78.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
adly,rt-100 road tracer,2018,Allround,95.6,,6.0,76.0,720.0,,Air,Belt,Automatic, two-stroke,Single cylinder
adly,rt-50 road tracer,2009,"Minibike, sport",49.3,,6.2,75.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
adly,rt-50 road tracer,2018,Allround,49.3,,6.0,75.0,720.0,,Air,Belt,Automatic, two-stroke,Single cylinder
adly,rt-90 road tracer,2009,"Minibike, sport",85.8,,,78.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
adly,sf-100 silver fox,2010,Scooter,95.6,7.5,,77.0,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,sf-50 silver fox,2010,Scooter,49.3,3.7,,76.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
adly,silver fox 100,2007,Scooter,95.6,7.5,,75.0,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,silver fox 100,2008,Scooter,95.6,7.5,,75.0,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,silver fox 50,2007,Scooter,49.3,3.7,,75.0,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,silver fox 50,2008,Scooter,49.3,3.7,,75.0,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,silverfox 50,2003,Scooter,49.0,,5.8,75.0,,,Air,Unknown,Unknown, two-stroke,Single cylinder
adly,super sonic 100,2008,Scooter,95.8,7.5,,77.0,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,super sonic 125,2008,Scooter,124.0,8.6,,90.0,,,Air,Unknown,Automatic, four-stroke,Single cylinder
adly,super sonic 125,2009,Scooter,124.0,8.6,,90.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
adly,super sonic 50,2008,Scooter,49.3,3.7,,77.0,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,super sonic 50,2009,Scooter,49.3,3.7,,77.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
adly,supersonic 100,2007,Scooter,95.8,7.5,,77.0,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,supersonic 125,2007,Scooter,124.0,8.6,,90.0,,,Air,Unknown,Automatic, four-stroke,Single cylinder
adly,supersonic 50,2007,Scooter,49.3,3.7,,77.0,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,thunder 125,2009,Scooter,124.0,6.8,,90.0,,5.5,Air,Belt,Automatic, four-stroke,Single cylinder
adly,thunder 50,2009,Scooter,49.3,3.7,,77.0,,3.0,Air,Belt,Automatic, two-stroke,Single cylinder
adly,thunder bike 100,2007,Scooter,95.8,7.5,,77.0,,,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,thunder bike 100,2008,Scooter,95.8,7.5,,77.0,,5.5,Air,Unknown,Automatic, two-stroke,Single cylinder
adly,thunder bike 125,2007,Scooter,124.0,8.6,,90.0,,,Air,Unknown,Automatic, four-stroke,Single cylinder
adly,thunder bike 125,2008,Scooter,124.0,7.8,,90.0,,6.5,Air,Unknown,Automatic, four-stroke,Single cylinder
adly,thunder bike 150,2007,Scooter,150.0,13.1,6.0,90.0,,,Oil & air,Unknown,Unknown, four-stroke,Single cylinder
adly,thunder bike 50,2007,Scooter,49.3,3.7,6.0,77.0,,,Air,Unknown,Unknown, two-stroke,Single cylinder
adly,thunder bike 50,2008,Scooter,49.3,3.7,,77.0,,3.0,Air,Unknown,Automatic, two-stroke,Single cylinder
aeon,3d-350,2018,Scooter,346.0,25.0,13.5,212.5,790.0,28.8,Liquid,Chain,Automatic, four-stroke,Single cylinder
aeon,3d-350,2019,Scooter,346.0,27.0,13.5,212.5,790.0,28.8,Liquid,Chain,Automatic, four-stroke,Single cylinder
aeon,3d-350 r,2019,Scooter,346.0,30.0,13.5,224.0,790.0,30.0,Liquid,Chain,Automatic, four-stroke,Single cylinder
aeon,ae-11 pulsar 100,2008,Scooter,96.0,,6.0,110.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
aeon,ae-12 pulsar 150,2008,Scooter,149.5,,6.0,110.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
aeon,ae-6 echo,2008,Scooter,49.3,,6.0,79.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
aeon,ae-9 pulsar 125,2008,Scooter,124.6,,6.0,110.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
aeon,am-1 aero 50,2008,Scooter,49.0,,6.0,88.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
aeon,am-2 aero 100,2008,Scooter,95.6,,6.0,89.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
aeon,ax-50,2009,"Minibike, cross",49.0,,5.0,45.0,535.0,,Unknown,Unknown,Automatic, two-stroke,Single cylinder
aeon,ax-50 mini-bike,2008,"Minibike, cross",49.0,,5.0,46.0,535.0,,Unknown,Belt,Automatic, two-stroke,Single cylinder
aeon,co-in 125i,2012,Scooter,124.9,,5.5,94.0,740.0,9.3,Liquid,Chain,Automatic, four-stroke,Single cylinder
aeon,cobra  rs 180,2010,ATV,169.0,8.7,8.0,165.0,790.0,10.2,Liquid,Chain,Automatic, four-stroke,Single cylinder
aeon,cobra 100,2019,ATV,95.6,6.4,5.0,,800.0,7.8,Air,Chain,Unknown, two-stroke,Single cylinder
aeon,cobra 220,2008,Prototype / concept model,196.0,12.1,7.3,193.0,,13.6,Air,Unknown,Unknown, four-stroke,Single cylinder
aeon,cobra 220,2009,ATV,196.0,12.1,7.3,193.0,790.0,13.6,Air,Chain,Automatic, four-stroke,Single cylinder
aeon,cobra 220,2019,ATV,196.0,12.1,7.3,193.0,790.0,13.6,Air,Chain,Automatic, four-stroke,Single cylinder
aeon,cobra 320,2008,Prototype / concept model,272.3,18.8,8.5,206.0,790.0,22.0,Unknown,Unknown,Unknown, four-stroke,Single cylinder
aeon,cobra 320,2009,ATV,272.3,19.4,7.3,211.0,790.0,19.0,Liquid,Chain,Automatic, four-stroke,Single cylinder
aeon,cobra 320,2010,ATV,196.0,16.1,7.3,77.0,550.0,14.5,Liquid,Chain,Automatic, four-stroke,Single cylinder
aeon,cobra 400,2012,ATV,346.0,20.1,9.3,207.0,790.0,30.0,Liquid,Unknown,Automatic, four-stroke,Single cylinder
aeon,cobra 400,2019,ATV,346.0,,,,790.0,30.0,Liquid,Chain,Unknown, four-stroke,Single cylinder
aeon,cobra 400 efi,2021,ATV,346.0,20.1,9.3,,800.0,23.0,Liquid,Chain,Unknown, four-stroke,Single cylinder
aeon,cobra 400 supermoto,2022,ATV,346.0,20.1,9.3,207.0,780.0,30.0,Liquid,Belt,Automatic, four-stroke,Single cylinder
aeon,cobra 50,2009,ATV,49.0,3.6,5.0,130.0,800.0,4.5,Air,Shaft drive,Unknown, two-stroke,Single cylinder
aeon,cobra 50,2010,ATV,49.0,3.6,5.0,130.0,800.0,4.5,Air,Shaft drive,1-speed, two-stroke,Single cylinder
aeon,cobra 50,2012,ATV,49.3,3.0,5.0,129.0,800.0,3.7,Air,Shaft drive,Automatic, two-stroke,Single cylinder
aeon,cobra 50,2019,ATV,49.0,3.6,5.0,,800.0,4.5,Unknown,Chain,Unknown, two-stroke,Single cylinder
aeon,cobra supermoto,2018,ATV,346.0,20.1,9.3,207.0,780.0,30.0,Liquid,Belt,Automatic, four-stroke,Single cylinder
aeon,cobra supermoto,2019,ATV,346.0,20.1,9.3,207.0,780.0,30.0,Liquid,Belt,Automatic, four-stroke,Single cylinder
aeon,crossland 300,2009,ATV,272.3,18.1,14.0,233.0,850.0,22.0,Liquid,Shaft drive,Automatic, four-stroke,Single cylinder
aeon,crossland 300,2010,ATV,272.3,18.1,14.0,233.0,850.0,22.0,Liquid,Shaft drive,Automatic, four-stroke,Single cylinder
aeon,crossland 600 efi,2018,ATV,565.0,20.1,23.0,411.0,920.0,43.6,Liquid,Shaft drive,4-speed, four-stroke,Single cylinder
aeon,crossland rx 400,2012,ATV,346.0,20.1,14.0,230.0,850.0,30.0,Liquid,Shaft drive,Automatic, four-stroke,Single cylinder
aeon,crossland x4 400,2012,ATV,346.0,20.1,14.0,236.0,850.0,30.0,Liquid,Shaft drive,Automatic, four-stroke,Single cylinder
aeon,elite 125,2012,Scooter,124.9,10.5,13.5,165.0,800.0,11.3,Liquid,Chain,Automatic, four-stroke,Single cylinder
aeon,elite 200i,2012,Scooter,183.4,,,167.0,800.0,,Liquid,Chain,Automatic, four-stroke,Single cylinder
aeon,elite 250i,2019,Scooter,249.0,22.1,13.5,167.0,750.0,20.6,Liquid,Chain,Automatic, four-stroke,Single cylinder
aeon,elite 350i,2012,Scooter,313.0,22.8,13.5,172.0,800.0,30.0,Liquid,Chain,Automatic, four-stroke,Single cylinder
aeon,elite 400i,2014,Scooter,346.0,26.6,13.5,172.0,800.0,27.3,Liquid,Chain,Automatic, four-stroke,Single cylinder
aeon,elite 400i abs,2018,Scooter,346.0,32.2,13.5,180.0,800.0,30.0,Liquid,Chain,Automatic, four-stroke,Single cylinder
aeon,elite 400i abs,2019,Scooter,346.0,27.0,13.5,180.0,800.0,28.8,Liquid,Chain,Automatic, four-stroke,Single cylinder
aeon,es 150,2019,Scooter,149.8,14.0,7.0,124.0,774.0,,Air,Belt,Automatic, four-stroke,Single cylinder
aeon,minikolt 50,2009,ATV,49.3,3.6,3.4,77.0,550.0,4.5,Air,Chain,Unknown, two-stroke,Single cylinder
aeon,minikolt 50,2010,ATV,49.3,3.2,3.4,77.0,550.0,3.3,Air,Chain,Automatic, two-stroke,Single cylinder
aeon,minikolt 50,2012,ATV,49.3,3.2,3.4,77.0,550.0,3.3,Air,Chain,Automatic, two-stroke,Single cylinder
aeon,my 125i,2012,Allround,124.9,10.7,6.0,108.0,735.0,8.3,Air,Chain,5-speed, four-stroke,Single cylinder
aeon,my 150,2019,Allround,149.0,14.0,6.0,118.0,735.0,,Air,Chain,5-speed, four-stroke,Single cylinder
aeon,overland 180,2010,ATV,169.0,8.7,8.0,178.0,770.0,10.2,Air,Shaft drive,Automatic, four-stroke,Single cylinder
aeon,overland 200 t3,2018,ATV,176.0,13.1,9.0,195.0,800.0,13.8,Air,Chain,Unknown, four-stroke,Single cylinder
aeon,overland 600,2012,ATV,565.0,20.1,24.0,342.0,820.0,49.0,Liquid,Shaft drive,Automatic, four-stroke,Single cylinder
aeon,ozs 150,2019,Scooter,150.1,14.0,7.0,110.0,750.0,,Air,Belt,Automatic, four-stroke,Single cylinder
aeon,ozs 150 dual discs,2019,Scooter,150.0,,7.0,124.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
aeon,quadro 350d,2012,Scooter,313.0,22.8,13.0,200.0,780.0,23.7,Liquid,Chain,Automatic, four-stroke,Single cylinder
aeon,revo 100,2010,ATV,96.0,6.6,5.0,119.0,710.0,6.1,Air,Belt,Automatic, two-stroke,Single cylinder
